 plcname |                           basename1                            |                  basename2                   |       basename3        | num | start2 | end2 | start2 | end2 | start3 | end3 
---------+----------------------------------------------------------------+----------------------------------------------+------------------------+-----+--------+------+--------+------+--------+------
 plc2    | CistTAG_AB                                                     |                                              |                        |  18 |     10 |   27 |        |      |        |     
 plc2    | CistTAG_AI_PEW128                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW130                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW132                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW134                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW136                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW138                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW140                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW142                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW160                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW162                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW164                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW166                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW168                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW170                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW172                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW174                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW176                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW178                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW180                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW182                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW184                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW186                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW188                                              |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_AI_PEW190                                              |                                              |                        |     |        |      |        |      |        |     
