Lista tags in plc2
sono stati raggruppati i tags  (vedi nmin..nmax)
----------------------------------------------------------------+-----+-----------------------------------------------------------------------------------
Nome tag                                                        | I/O |Descrizione
----------------------------------------------------------------+-----+-----------------------------------------------------------------------------------
CistTAG_Bitume_InclusioneContalitri                             |  O  |
CistTAG_Bitume_NumeroCisterna4Valvole                           |  O  |
CistTAG_Emulsione_NumeroCisterne                                |  O  |
CistTAG_Combustibile_NumeroCisterne                             |  O  |
CistTAG_Emulsione_NumeroCisternaDefault                         |  O  |
CistTAG_Bitume_AbilitaValvSeparazione_1_2                       |  O  |
CistTAG_Bitume_AbilitaValvSeparazione_2_3                       |  O  |
CistTAG_Bitume_DO_ValvOlioCisterna1..10                         |  O  |
CistTAG_Bitume_AbilitaRegTempCisterna                           |  O  |
CistTAG_Inclusione_Orologio_Caldaie                             |  O  |
CistTAG_Bitume_SetTempCisterna1..10                             |  O  |
CistTAG_Bitume_DO_BoostOlioCisterna1..10                        |  O  |
CistTAG_Bitume_DI_SicRiscValvCisterna1..10                      |  I  |
CistTAG_Bitume_DI_SicRiscBoostCisterna1..10                     |  I  |
CistTAG_Bitume_DI_TermicaRiscCisterna1..10                      |  I  |
CistTAG_Emulsione_DO_ValvOlioCisterna1..10                      |  O  |
CistTAG_Emulsione_AbilitaRegTempCisterna                        |  O  |
CistTAG_Emulsione_InclusioneOrologio                            |  O  |
CistTAG_Emulsione_SetTempCisterna1..10                          |  O  |
CistTAG_Emulsione_DO_BoostOlioCisterna1..10                     |  O  |
CistTAG_Emulsione_DI_SicRiscValvCisterna1..10                   |  I  |
CistTAG_Emulsione_DI_SicRiscBoostCisterna1..10                  |  I  |
CistTAG_Emulsione_DI_TermicaRiscCisterna1..10                   |  I  |
CistTAG_Combustibile_DO_ValvOlioCisterna1..10                   |  O  |
CistTAG_Combustibile_AbilitaRegTempCisterna                     |  O  |
CistTAG_Combustibile_InclusioneOrologio                         |  O  |
CistTAG_Combustibile_SetTempCisterna1..10                       |  O  |
CistTAG_Combustibile_DO_BoostOlioCisterna1..10                  |  O  |
CistTAG_Combustibile_DI_SicRiscValvCisterna1..10                |  I  |
CistTAG_Combustibile_DI_SicRiscBoostCisterna1..10               |  I  |
CistTAG_Combustibile_DI_TermicaRiscCisterna1..10                |  I  |
CistTAG_Bitume_ValvoleGestioneManuale_ZZZ                       |  O  |
CistTAG_Bitume_ArrestoEmergenzaValvole                          |  O  |
CistTAG_Bitume_DI_PompaCircLegante                              |  I  |
CistTAG_CONTALITRI_ATTIVAZIONE                                  |  O  |
CistTAG_Bitume_Watchdog                                         |  O  |
CistTAG_Bitume_ForzaOperazioneSuAllarme_ZZZ                     |  O  |
CistTAG_Bitume_AckAllarme                                       |  O  |
CistTAG_Bitume_DB9_DBX14                                        |  O  |
CistTAG_Bitume_DI_PompaCircLegante2                             |  I  |
CistTAG_Bitume_NumeroCisterne                                   |  O  |
CistTAG_Bitume_NumeroCisternaDefault                            |  O  |
CistTAG_Bitume_CodiceOperazione_1..2                            |  O  |
CistTAG_Bitume_CisternaSorgente_1..3                            |  O  |
