Lista tags in plc4
sono stati raggruppati i tags  (vedi nmin..nmax)
----------------------------------------------------------------+-----------------------------------------------------------------------------------
Nome tag                                                        |Descrizione
----------------------------------------------------------------+-----------------------------------------------------------------------------------
PLCTAG_KgImpasto                                                |PLCTAG_PARAMETRI   Totale impasto con bitume
PLCTAG_ThImpianto                                               |T/h impianto
PLCTAG_UnitaPLC                                                 |Unità del PLC
PLCTAG_FondoScalaBilA/F/B/V/Add/Ric/7                           |FondoScala bilancia aggregati/filler/bitume/viatop/additivo/riciclato/7
PLCTAG_TaraMaxA/F/B/V/Add/Ric/7                                 |Tara max aggregati/filler/bitume/viatop/additivo/riciclato/7
PLCTAG_SicurezzaBilA/F/B/V/Add/Ric/7                            |Sicurezza bilancia aggregati/filler/bitume/viatop/additivo/riciclato/7
PLCTAG_FondoScalaBilNastroA                                     |FondoScala bilancia Ramsey aggregati
PLCTAG_FondoScalaBilNastroR                                     |FondoScala bilancia Ramsey riciclato
PLCTAG_MaxThRamseyA                                             |Max T/h Ramsey aggregati
PLCTAG_MaxThRamseyR                                             |Max T/h Ramsey riciclato
PLCTAG_FScalaBilPondPred1                                       |Valore di FondoScala bilancia predosatore 1..3
PLCTAG_FondoScalaTempMaxDry                                     |FondoScala massima temperatura scivolo
PLCTAG_FondoScalaTempMinDry                                     |FondoScala minima temperatura scivolo
PLCTAG_FondoScalaTempMaxSab                                     |FondoScala massima temperatura sabbia
PLCTAG_FondoScalaTempMinSab                                     |FondoScala minima temperatura sabbia
PLCTAG_FondoScalaTempMaxBit                                     |FondoScala massima temperatura bitume
PLCTAG_FondoScalaTempMinBit                                     |FondoScala minima temperatura bitume
PLCTAG_PortataPred1                                             |Portata massima predosatore 1..12
PLCTAG_PortataPredRic1                                          |Portata massima predosatore riciclato 1..4
PLCTAG_ImpostPred1                                              |Valore uscita analogica max per predosatore 1..12
PLCTAG_ImpostPredRic1                                           |Valore uscita analogica max per predosatore riciclato 1..4
PLCTAG_AttenuazCorrezPondP1                                     |Attenuazione correzione ponderale predosatore 1..3
PLCTAG_AttenuazCorrezPondPR1                                    |Attenuazione correzione ponderale predosatore riciclato 1..4
PLCTAG_LimiteMinCorrPondP1                                      |Limite minima di correzione ponderale predosatore 1..3
PLCTAG_LimiteMaxCorrPondP1                                      |Limite massimo di correzione ponderale predosatore 1..3
PLCTAG_TimerPausaCorrezP1                                       |Tempo di pausa correzione ponderale predosatore 1..3
PLCTAG_TimerPausaCorrezPR1                                      |Tempo di pausa correzione ponderale predosatore riciclato 1..4
PLCTAG_TPausaLavoroFiltro                                       |Tempo di pausa lavoro del filtro
PLCTAG_TimerLavoro1Filtro                                       |Primo tempo di lavoro filtro
PLCTAG_TimerLavoro2Filtro                                       |Secondo tempo di lavoro filtro
PLCTAG_NumeroCamere                                             |Numero camere filtro
PLCTAG_ModoFunzFiltro                                           |Modo funzionamento filtro
PLCTAG_PressFiltroMax                                           |Max indicazione depressione filtro
PLCTAG_SicurezzaTemperatura                                     |Sicurezza temperatura scivolo e sabbia
PLCTAG_ValoreMaxVolo                                            |Valore massimo volo
PLCTAG_ValoreMaxVoloBit                                         |Valore massimo volo bitume
PLCTAG_ValoreSetMaggioratoBit                                   |Valore di set maggiorato bitume
PLCTAG_TempoSvuotTraspViatop                                    |Tempo di svuotamento del trasporto del viatop
PLCTAG_TempoSvuotCicviatop                                      |Tempo di svuotamento del ciclone del viatop
PLCTAG_TempoRitApValvPresep                                     |Tempo di ritardo apertura valvola preseparatore
PLCTAG_TempoRitChValvPresep                                     |Tempo di ritardo chiusura valvola preseparatore
PLCTAG_InclusioneLegante100                                     |Bitume compreso nel 100% o no
PLCTAG_AbilitaVoloDinamicoFlusso                                |
PLCTAG_UnitaMaxPCL                                              |Unità max dell Analog Output della PCL
PLCTAG_CelleSiloStabBilancia                                    |
PLCTAG_VeloxMax_SiwarexPESA                                     |
PLCTAG_VeloxMin_SiwarexPESA                                     |
PLCTAG_Kg_Lenta_SiwarexPESA                                     |
PLCTAG_DB5_DBX462_0                                             |EX. Abilitazione Flomac da parametri
PLCTAG_UnitaMaxContalitri                                       |Unita max contalitri
PLCTAG_UnitaMinContalitri                                       |Unita min contalitri
PLCTAG_DensitaContalitri                                        |
PLCTAG_ContalitriImpulsiLitro                                   |
PLCTAG_ContalitriTempoMaxSpruzzatura                            |
PLCTAG_AbilitaPesataFineA1                                      |Abilita Pesata Fine A1..A7
PLCTAG_AbilitaPesataFineNV                                      |Abilita Pesata Fine NV
PLCTAG_Densita_Add2_CNT                                         |
PLCTAG_ImpulsiLitro_Add2_CNT                                    |
PLCTAG_Rampa_dec_Add2_CNT                                       |
PLCTAG_Tempo_sicurez_Add2_CNT                                   |
PLCTAG_Add2_modo_CNT                                            |
PLCTAG_Add2_presenza_valvola                                    |
PLCTAG_Simulatore_S7_interno                                    |
PLCTAG_AbilitaSicurezzaGalleggianteB2                           |
PLCTAG_AbilitaSicurezzaGalleggianteB3                           |
PLCTAG_AbilitaSiwarex6                                          |
PLCTAG_AbilitaSiwarex7                                          |
PLCTAG_AbilitaIME1096HDPLUS                                     |
PLCTAG_AbilitaBennaApribile                                     |
PLCTAG_GrigliaVibranteRic1Abilita                               |
PLCTAG_GrigliaVibranteRic2Abilita                               |
PLCTAG_GrigliaVibranteRic3Abilita                               |
PLCTAG_GrigliaVibranteRic4Abilita                               |
PLCTAG_AbilitaBilanciaAggregati                                 |
PLCTAG_AbilitaBilanciaFiller                                    |
PLCTAG_AbilitaBilanciaBitume                                    |
PLCTAG_AbilitaBilanciaBitumeGR                                  |
PLCTAG_AbilitaBilanciaContalitri                                |
PLCTAG_AbilitaBilanciaAddMix                                    |
PLCTAG_AbilitaBilanciaAddBaci                                   |
PLCTAG_AbilitaBilanciaViatop                                    |
PLCTAG_AbilitaBilanciaRiciclato                                 |
PLCTAG_AbilitaBilanciaRiciclatoSiwa                             |
PLCTAG_AbilitaBilanciaAddSacchi                                 |
PLCTAG_AbilitaBilanciaAcqua                                     |
PLCTAG_AbilitaAquablack                                         |
PLCTAG_InclusioneCocleeRecupero                                 |
PLCTAG_AbilitazSpruzzBennaTemporiz                              |
PLCTAG_EN_Pes_Fill_2_Coclee                                     |solo per PP110074
