Lista tags in wamfoam
sono stati raggruppati i tags  (vedi nmin..nmax)
----------------------------------------------------------------+-----+-----------------------------------------------------------------------------------
Nome tag                                                        | I/O |Descrizione
----------------------------------------------------------------+-----+-----------------------------------------------------------------------------------
LoPortataBitume_idx                                             |  O  |Valore riferito allo 0 della portata del bitume (Kg/h)
HiPortataBitume_idx                                             |  O  |Valore riferito al max della portata del bitume (Kg/h)
PortataBitume_idx                                               |  I  |Valore letto portata bitume (Kg/h)
LoPortataH2O_idx                                                |  O  |Valore riferito allo 0 della portata dell'acqua (Kg/h)
HiPortataH2O_idx                                                |  O  |Valore riferito al max della portata dell'acqua (Kg/h)
PortataH2O_idx                                                  |  I  |Valore letto portata dell'acqua (Kg/h)
LoSetBitume_idx                                                 |  O  |Valore riferito allo 0 del riferimento del bitume (Kg/h)
HiSetBitume_idx                                                 |  O  |Valore riferito al max del riferimento del bitume (Kg/h)
SetPortataBitume_idx                                            |  O  |Valore inviato al riferimento bitume (Kg/h)
LoSetH2O_idx                                                    |  O  |Valore riferito allo 0 del riferimento dell'acqua (Kg/h)
HiSetH2O_idx                                                    |  O  |Valore riferito al max del riferimento dell'acqua (Kg/h)
SetPortataH2O_idx                                               |  O  |Valore inviato al riferimento dell'acqua (Kg/h)
LoTempBitume_idx                                                |  O  |Min di riferimento per la temperatura del bitume
HiTempBitume_idx                                                |  O  |Max di riferimento per la temperatura del bitume
TemperaturaBitume_idx                                           |  I  |Temperatura del bitume
LoTempBitumeM_idx                                               |  O  |Min di riferimento per la temperatura del bitume del massico
HiTempBitumeM_idx                                               |  O  |Max di riferimento per la temperatura del bitume del massico
TemperaturaBitumeM_idx                                          |  I  |Temperatura del bitume del massico
LoTempOlio_idx                                                  |  O  |Min di riferimento per la temperatura olio
HiTempOlio_idx                                                  |  O  |Max di riferimento per la temperatura olio
TemperaturaOlio_idx                                             |  I  |Temperatura olio
LoTempRampa_idx                                                 |  O  |Min di riferimento per la temperatura della rampa
HiTempRampa_idx                                                 |  O  |Max di riferimento per la temperatura della rampa
TemperaturaRampa_idx                                            |  I  |Temperatura della rampa
LoPressH2O_idx                                                  |  O  |Min di riferimento per la pressione acqua
HiPressH2O_idx                                                  |  O  |Max di riferimento per la pressione acqua
PressioneH2O_idx                                                |  I  |Pressione acqua
LoPressRampa_idx                                                |  O  |Min di riferimento per la pressione della rampa
HiPressRampa_idx                                                |  O  |Max di riferimento per la pressione della rampa
PressioneRampa_idx                                              |  I  |Pressione della rampa
LoSetPortataBSoft_idx                                           |  O  |Valore riferito allo 0 della portata del bitume SOFT (Kg/h)
HiSetPortataBSoft_idx                                           |  O  |Valore riferito al max della portata del bitume SOFT (Kg/h)
SetPortataBSoft_idx                                             |  O  |Valore inviato al riferimento bitume SOFT (Kg/h)
LoTempBSoftM_idx                                                |  O  |Min di riferimento per la temperatura del bitume SOFT (massico)
HiTempBSoftM_idx                                                |  O  |Max di riferimento per la temperatura del bitume SOFT (massico)
TemperaturaBSoftM_idx                                           |  I  |Temperatura del bitume SOFT (massico)
LoTempOlioBSoft_idx                                             |  O  |Min di riferimento per la temperatura olio bitume SOFT
HiTempOlioBSoft_idx                                             |  O  |Max di riferimento per la temperatura olio bitume SOFT
TemperaturaOlioBSoft_idx                                        |  I  |Temperatura olio bitume SOFT
PercentualeH2O_idx                                              |  O  |Percentuale di H20 riferita al bitume
TempoRegolatoreH2O_idx                                          |  O  |Tempo di scansione per regolare H2O (msec.)
GuadagnoRegolatoreH2O_idx                                       |  O  |Fattore moltiplicativo per aumento/riduzione acqua
BandaMortaRegolatoreH2O_idx                                     |  O  |Banda morta regolatore
RitardoStabMisuraBitume_idx                                     |  O  |Ritardo stabilizzazione misura bitume
VelocitaInverterH2O_idx                                         |  I  |Velocità inverter
AutomaticoCiclo_idx                                             |  O  |Gestione automatica del ciclo
Emergenza_idx                                                   |  O  |Stato di emergenza
AbilitaCiclo_idx                                                |  O  |Abilitazione al ciclo di schiumatura
ScaricoAggregati_idx                                            |  O  |Scarico aggregati
CollegamentoPC_idx                                              |  O  |Collegamento PC
WatchDog_idx                                                    |  O  |Controllo comunicazione (connessione PC)
AutomaticoMotori_Idx                                            |  O  |Gestione automatica dei motori
PesoAggregati_idx                                               |  I  |Peso degli aggregati
