PLCTAG_KgImpasto                                                plc4/db5.dbd0:real        PLCTAG_PARAMETRI   Totale impasto con bitume
PLCTAG_ThImpianto                                               plc4/db5.dbd4:real        T/h impianto
PLCTAG_UnitaPLC                                                 plc4/db5.dbd8:real        Unità del PLC
PLCTAG_FondoScalaBilA/F/B/V/Add/Ric/7                           plc4/db5.dbd12:real       FondoScala bilancia aggregati/filler/bitume/viatop/additivo/riciclato/7
PLCTAG_TaraMaxA/F/B/V/Add/Ric/7                                 plc4/db5.dbd40:real       Tara max aggregati/filler/bitume/viatop/additivo/riciclato/7
PLCTAG_SicurezzaBilA/F/B/V/Add/Ric/7                            plc4/db5.dbd68:real       Sicurezza bilancia aggregati/filler/bitume/viatop/additivo/riciclato/7
PLCTAG_FondoScalaBilNastroA                                     plc4/db5.dbd96:real       FondoScala bilancia Ramsey aggregati
PLCTAG_FondoScalaBilNastroR                                     plc4/db5.dbd100:real      FondoScala bilancia Ramsey riciclato
PLCTAG_MaxThRamseyA                                             plc4/db5.dbd104:real      Max T/h Ramsey aggregati
PLCTAG_MaxThRamseyR                                             plc4/db5.dbd108:real      Max T/h Ramsey riciclato
PLCTAG_FScalaBilPondPred1                                       plc4/db5.dbd112:real      Valore di FondoScala bilancia predosatore 1..3
PLCTAG_FondoScalaTempMaxDry                                     plc4/db5.dbd124:real      FondoScala massima temperatura scivolo
PLCTAG_FondoScalaTempMinDry                                     plc4/db5.dbd128:real      FondoScala minima temperatura scivolo
PLCTAG_FondoScalaTempMaxSab                                     plc4/db5.dbd132:real      FondoScala massima temperatura sabbia
PLCTAG_FondoScalaTempMinSab                                     plc4/db5.dbd136:real      FondoScala minima temperatura sabbia
PLCTAG_FondoScalaTempMaxBit                                     plc4/db5.dbd140:real      FondoScala massima temperatura bitume
PLCTAG_FondoScalaTempMinBit                                     plc4/db5.dbd144:real      FondoScala minima temperatura bitume
PLCTAG_PortataPred1                                             plc4/db5.dbd148:real      Portata massima predosatore 1..12
PLCTAG_PortataPredRic1                                          plc4/db5.dbd196:real      Portata massima predosatore riciclato 1..4
PLCTAG_ImpostPred1                                              plc4/db5.dbd212:real      Valore uscita analogica max per predosatore 1..12
PLCTAG_ImpostPredRic1                                           plc4/db5.dbd260:real      Valore uscita analogica max per predosatore riciclato 1..4
PLCTAG_AttenuazCorrezPondP1                                     plc4/db5.dbd276:real      Attenuazione correzione ponderale predosatore 1..3
PLCTAG_AttenuazCorrezPondPR1                                    plc4/db5.dbd288:real      Attenuazione correzione ponderale predosatore riciclato 1..4
PLCTAG_LimiteMinCorrPondP1                                      plc4/db5.dbd304:real      Limite minima di correzione ponderale predosatore 1..3
PLCTAG_LimiteMaxCorrPondP1                                      plc4/db5.dbd316:real      Limite massimo di correzione ponderale predosatore 1..3
PLCTAG_TimerPausaCorrezP1                                       plc4/db5.dbw328:word      Tempo di pausa correzione ponderale predosatore 1..3
PLCTAG_TimerPausaCorrezPR1                                      plc4/db5.dbw334:word      Tempo di pausa correzione ponderale predosatore riciclato 1..4
PLCTAG_TPausaLavoroFiltro                                       plc4/db5.dbw342:word      Tempo di pausa lavoro del filtro
PLCTAG_TimerLavoro1Filtro                                       plc4/db5.dbw344:word      Primo tempo di lavoro filtro
PLCTAG_TimerLavoro2Filtro                                       plc4/db5.dbw346:word      Secondo tempo di lavoro filtro
PLCTAG_NumeroCamere                                             plc4/db5.dbw348:int       Numero camere filtro
PLCTAG_ModoFunzFiltro                                           plc4/db5.dbw350:int       Modo funzionamento filtro
PLCTAG_PressFiltroMax                                           plc4/db5.dbd352:real      Max indicazione depressione filtro
PLCTAG_SicurezzaTemperatura                                     plc4/db5.dbw356:int       Sicurezza temperatura scivolo e sabbia
PLCTAG_ValoreMaxVolo                                            plc4/db5.dbd394:real      Valore massimo volo
PLCTAG_ValoreMaxVoloBit                                         plc4/db5.dbd398:real      Valore massimo volo bitume
PLCTAG_ValoreSetMaggioratoBit                                   plc4/db5.dbd402:real      Valore di set maggiorato bitume
PLCTAG_TempoSvuotTraspViatop                                    plc4/db5.dbw406:word      Tempo di svuotamento del trasporto del viatop
PLCTAG_TempoSvuotCicviatop                                      plc4/db5.dbw408:word      Tempo di svuotamento del ciclone del viatop
PLCTAG_TempoRitApValvPresep                                     plc4/db5.dbw410:word      Tempo di ritardo apertura valvola preseparatore
PLCTAG_TempoRitChValvPresep                                     plc4/db5.dbw412:word      Tempo di ritardo chiusura valvola preseparatore
PLCTAG_InclusioneLegante100                                     plc4/db5.dbx422.0:bool    Bitume compreso nel 100% o no
PLCTAG_AbilitaVoloDinamicoFlusso                                plc4/db5.dbx422.2:bool
PLCTAG_UnitaMaxPCL                                              plc4/db5.dbw428:int       Unità max dell Analog Output della PCL
PLCTAG_CelleSiloStabBilancia                                    plc4/db5.dbw430:int
PLCTAG_VeloxMax_SiwarexPESA                                     plc4/db5.dbd432:real
PLCTAG_VeloxMin_SiwarexPESA                                     plc4/db5.dbd436:real
PLCTAG_Kg_Lenta_SiwarexPESA                                     plc4/db5.dbd440:real
PLCTAG_DB5_DBX462_0                                             plc4/db5.dbx462.0:bool    EX. Abilitazione Flomac da parametri
PLCTAG_UnitaMaxContalitri                                       plc4/db5.dbd464:real      Unita max contalitri
PLCTAG_UnitaMinContalitri                                       plc4/db5.dbd468:real      Unita min contalitri
PLCTAG_DensitaContalitri                                        plc4/db5.dbd472:real
PLCTAG_ContalitriImpulsiLitro                                   plc4/db5.dbd476:real
PLCTAG_ContalitriTempoMaxSpruzzatura                            plc4/db5.dbw480:int
PLCTAG_AbilitaPesataFineA1                                      plc4/db5.dbx482.0:bool    Abilita Pesata Fine A1..A7
PLCTAG_AbilitaPesataFineNV                                      plc4/db5.dbx482.7:bool    Abilita Pesata Fine NV
PLCTAG_Densita_Add2_CNT                                         plc4/db5.dbd484:real
PLCTAG_ImpulsiLitro_Add2_CNT                                    plc4/db5.dbd488:real
PLCTAG_Rampa_dec_Add2_CNT                                       plc4/db5.dbd492:real
PLCTAG_Tempo_sicurez_Add2_CNT                                   plc4/db5.dbw496:word
PLCTAG_Add2_modo_CNT                                            plc4/db5.dbx498.0:bool
PLCTAG_Add2_presenza_valvola                                    plc4/db5.dbx498.1:bool
PLCTAG_Simulatore_S7_interno                                    plc4/db5.dbx517.5:bool
PLCTAG_AbilitaSicurezzaGalleggianteB2                           plc4/db5.dbx519.2:bool
PLCTAG_AbilitaSicurezzaGalleggianteB3                           plc4/db5.dbx519.3:bool
PLCTAG_AbilitaSiwarex6                                          plc4/db5.dbx519.4:bool
PLCTAG_AbilitaSiwarex7                                          plc4/db5.dbx519.5:bool
PLCTAG_AbilitaIME1096HDPLUS                                     plc4/db5.dbx519.6:bool
PLCTAG_AbilitaBennaApribile                                     plc4/db5.dbx519.7:bool
PLCTAG_GrigliaVibranteRic1Abilita                               plc4/db5.dbx520.0:bool
PLCTAG_GrigliaVibranteRic2Abilita                               plc4/db5.dbx520.1:bool
PLCTAG_GrigliaVibranteRic3Abilita                               plc4/db5.dbx520.2:bool
PLCTAG_GrigliaVibranteRic4Abilita                               plc4/db5.dbx520.3:bool
PLCTAG_AbilitaBilanciaAggregati                                 plc4/db5.dbx521.2:bool
PLCTAG_AbilitaBilanciaFiller                                    plc4/db5.dbx521.3:bool
PLCTAG_AbilitaBilanciaBitume                                    plc4/db5.dbx521.4:bool
PLCTAG_AbilitaBilanciaBitumeGR                                  plc4/db5.dbx521.5:bool
PLCTAG_AbilitaBilanciaContalitri                                plc4/db5.dbx521.6:bool
PLCTAG_AbilitaBilanciaAddMix                                    plc4/db5.dbx521.7:bool
PLCTAG_AbilitaBilanciaAddBaci                                   plc4/db5.dbx522.0:bool
PLCTAG_AbilitaBilanciaViatop                                    plc4/db5.dbx522.1:bool
PLCTAG_AbilitaBilanciaRiciclato                                 plc4/db5.dbx522.2:bool
PLCTAG_AbilitaBilanciaRiciclatoSiwa                             plc4/db5.dbx522.3:bool
PLCTAG_AbilitaBilanciaAddSacchi                                 plc4/db5.dbx522.4:bool
PLCTAG_AbilitaBilanciaAcqua                                     plc4/db5.dbx522.5:bool
PLCTAG_AbilitaAquablack                                         plc4/db5.dbx522.6:bool
PLCTAG_InclusioneCocleeRecupero                                 plc4/db5.dbx524.3:bool
PLCTAG_AbilitazSpruzzBennaTemporiz                              plc4/db5.dbx524.6:bool
PLCTAG_EN_Pes_Fill_2_Coclee                                     plc4/db5.dbx525.0:bool    solo per PP110074
PLCTAG_EN_Flap_Sciv_Scar_Bil_ri                                 plc4/db5.dbx525.1:bool    solo per PP110045
PLCTAG_EN_Antiad_Sciv_Sc_BilRAP                                 plc4/db5.dbx525.2:bool    solo per PP110045
PLCTAG_EN_Pes_Fill_2_Forzata                                    plc4/db5.dbx525.3:bool
PLCTAG_AbilitaBlendingBitume                                    plc4/db5.dbx525.4:bool
PLCTAG_EN_Silo_Solo_Diretto                                     plc4/db5.dbx525.5:bool
PLCTAG_Pres_Selett_Scambio_B1B2                                 plc4/db5.dbx526.2:bool
PLCTAG_TimeOutScaricoAggregati                                  plc4/db5.dbw550:int
PLCTAG_TimeOutScaricoFiller                                     plc4/db5.dbw552:int
PLCTAG_TimeOutScaricoLegante                                    plc4/db5.dbw554:int
