CistTAG_Bitume_InclusioneContalitri                                               plc2/db5.dbx0.7:bool CistTAG_PARAMETRI
CistTAG_Bitume_NumeroCisterna4Valvole                                             plc2/db5.dbw20:int
CistTAG_Emulsione_NumeroCisterne                                                  plc2/db5.dbw34:int
CistTAG_Combustibile_NumeroCisterne                                               plc2/db5.dbw36:int
CistTAG_Emulsione_NumeroCisternaDefault                                           plc2/db5.dbw38:int
CistTAG_Bitume_AbilitaValvSeparazione_1_2                                         plc2/db5.dbx64.6:bool
CistTAG_Bitume_AbilitaValvSeparazione_2_3                                         plc2/db5.dbx64.7:bool
CistTAG_Bitume_DO_ValvOlioCisterna1                                               plc2/db8.dbx0.0:bool CistTAG_REG_TEMP     DB8: Scambio Regolazione Temperatura plc2/db8.dbx0.0:bool
CistTAG_Bitume_DO_ValvOlioCisterna2                                               plc2/db8.dbx0.1:bool
CistTAG_Bitume_DO_ValvOlioCisterna3                                               plc2/db8.dbx0.2:bool
CistTAG_Bitume_DO_ValvOlioCisterna4                                               plc2/db8.dbx0.3:bool
CistTAG_Bitume_DO_ValvOlioCisterna5                                               plc2/db8.dbx0.4:bool
CistTAG_Bitume_DO_ValvOlioCisterna6                                               plc2/db8.dbx0.5:bool
CistTAG_Bitume_DO_ValvOlioCisterna7                                               plc2/db8.dbx0.6:bool
CistTAG_Bitume_DO_ValvOlioCisterna8                                               plc2/db8.dbx0.7:bool
CistTAG_Bitume_DO_ValvOlioCisterna9                                               plc2/db8.dbx1.0:bool
CistTAG_Bitume_DO_ValvOlioCisterna10                                              plc2/db8.dbx1.1:bool
CistTAG_Bitume_AbilitaRegTempCisterna                                             plc2/db8.dbx1.2:bool plc2/db8.dbx1.2:bool
CistTAG_Inclusione_Orologio_Caldaie                                               plc2/db8.dbx1.3:bool
CistTAG_Bitume_SetTempCisterna1                                                   plc2/db8.dbd2:real   plc2/db8.dbd2:real
CistTAG_Bitume_SetTempCisterna2                                                   plc2/db8.dbd6:real
CistTAG_Bitume_SetTempCisterna3                                                   plc2/db8.dbd10:real
CistTAG_Bitume_SetTempCisterna4                                                   plc2/db8.dbd14:real
CistTAG_Bitume_SetTempCisterna5                                                   plc2/db8.dbd18:real
CistTAG_Bitume_SetTempCisterna6                                                   plc2/db8.dbd22:real
CistTAG_Bitume_SetTempCisterna7                                                   plc2/db8.dbd26:real
CistTAG_Bitume_SetTempCisterna8                                                   plc2/db8.dbd30:real
CistTAG_Bitume_SetTempCisterna9                                                   plc2/db8.dbd34:real
CistTAG_Bitume_SetTempCisterna10                                                  plc2/db8.dbd38:real
CistTAG_Bitume_DO_BoostOlioCisterna1                                              plc2/db8.dbx42.0:boolplc2/db8.dbx42.0:bool
CistTAG_Bitume_DO_BoostOlioCisterna2                                              plc2/db8.dbx42.1:bool
CistTAG_Bitume_DO_BoostOlioCisterna3                                              plc2/db8.dbx42.2:bool
CistTAG_Bitume_DO_BoostOlioCisterna4                                              plc2/db8.dbx42.3:bool
CistTAG_Bitume_DO_BoostOlioCisterna5                                              plc2/db8.dbx42.4:bool
CistTAG_Bitume_DO_BoostOlioCisterna6                                              plc2/db8.dbx42.5:bool
CistTAG_Bitume_DO_BoostOlioCisterna7                                              plc2/db8.dbx42.6:bool
CistTAG_Bitume_DO_BoostOlioCisterna8                                              plc2/db8.dbx42.7:bool
CistTAG_Bitume_DO_BoostOlioCisterna9                                              plc2/db8.dbx43.0:bool
CistTAG_Bitume_DO_BoostOlioCisterna10                                             plc2/db8.dbx43.1:bool
CistTAG_Bitume_DI_SicRiscValvCisterna1                                            plc2/db8.dbx84.0:boolplc2/db8.dbx84.0:bool
CistTAG_Bitume_DI_SicRiscValvCisterna2                                            plc2/db8.dbx84.1:bool
CistTAG_Bitume_DI_SicRiscValvCisterna3                                            plc2/db8.dbx84.2:bool
CistTAG_Bitume_DI_SicRiscValvCisterna4                                            plc2/db8.dbx84.3:bool
CistTAG_Bitume_DI_SicRiscValvCisterna5                                            plc2/db8.dbx84.4:bool
CistTAG_Bitume_DI_SicRiscValvCisterna6                                            plc2/db8.dbx84.5:bool
CistTAG_Bitume_DI_SicRiscValvCisterna7                                            plc2/db8.dbx84.6:bool
CistTAG_Bitume_DI_SicRiscValvCisterna8                                            plc2/db8.dbx84.7:bool
CistTAG_Bitume_DI_SicRiscValvCisterna9                                            plc2/db8.dbx85.0:bool
CistTAG_Bitume_DI_SicRiscValvCisterna10                                           plc2/db8.dbx85.1:bool
CistTAG_Bitume_DI_SicRiscBoostCisterna1                                           plc2/db8.dbx86.0:boolplc2/db8.dbx86.0:bool
CistTAG_Bitume_DI_SicRiscBoostCisterna2                                           plc2/db8.dbx86.1:bool
